taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
11795,Friend_murine_leukemia_virus,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Gammaretrovirus,s__Murine_leukemia_virus
11824,Gardner_Arnstein_feline_leukemia_oncovirus_B,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Gammaretrovirus,s__Feline_leukemia_virus
11942,Simian_retrovirus_1,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Betaretrovirus,s__Mason_Pfizer_monkey_virus
1016852,Banana_streak_CA_virus,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Caulimoviridae,g__Badnavirus,s__Banana_streak_CA_virus
2170200,Spider_monkey_simian_foamy_virus,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Simiispumavirus,s__Spider_monkey_simian_foamy_virus
11671,Equine_infectious_anemia_virus_STRAIN_WSU5,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Lentivirus,s__Equine_infectious_anemia_virus
11660,Caprine_arthritis_encephalitis_virus,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Lentivirus,s__Caprine_arthritis_encephalitis_virus
11764,Baboon_endogenous_virus_strain_M7,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Gammaretrovirus,s__Baboon_endogenous_virus
2169971,Visna_maedi_virus,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Lentivirus,s__Visna_maedi_virus
10410,Hepatitis_B_virus_adw_991,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Blubervirales,f__Hepadnaviridae,g__Orthohepadnavirus,s__Hepatitis_B_virus
11926,Human_T_cell_lymphotrophic_virus_type_1_strain_ATK,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Deltaretrovirus,s__Primate_T_lymphotropic_virus_1
1476909,Banana_streak_MY_virus,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Caulimoviridae,g__Badnavirus,s__Banana_streak_MY_virus
35269,Woodchuck_hepatitis_virus,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Blubervirales,f__Hepadnaviridae,g__Orthohepadnavirus,s__Woodchuck_hepatitis_virus
2170201,Squirrel_monkey_simian_foamy_virus,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Simiispumavirus,s__Squirrel_monkey_simian_foamy_virus
11676,Human_immunodeficiency_virus_1,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Lentivirus,s__Human_immunodeficiency_virus_1
45409,Feline_immunodeficiency_virus_isolate_wo,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Lentivirus,s__Feline_immunodeficiency_virus
