taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
487,Neisseria_meningitidis,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria_meningitidis
320483,Anaplasma_marginale_str_Florida,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Anaplasmataceae,g__Anaplasma,s__Anaplasma_marginale
235279,Helicobacter_hepaticus_ATCC_51449,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter,s__Helicobacter_hepaticus
243277,Vibrio_cholerae_O1_biovar_El_Tor_str_N16961,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Vibrio,s__Vibrio_cholerae
298,Pseudomonas_marginalis,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_marginalis
439184,Escherichia_coli_RS218,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia_coli
267212,Neisseria_bacilliformis,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria_bacilliformis
357244,Orientia_tsutsugamushi_str_Boryong,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Rickettsiaceae,g__Orientia,s__Orientia_tsutsugamushi
645,Aeromonas_salmonicida,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Aeromonas,s__Aeromonas_salmonicida
224914,Brucella_melitensis_bv_1_str_16M,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Hyphomicrobiales,f__Brucellaceae,g__Brucella,s__Brucella_melitensis
424717,Shigella_flexneri_3a,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Shigella,s__Shigella_flexneri
674,Vibrio_mimicus,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Vibrio,s__Vibrio_mimicus
1022,Beggiatoa_alba,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Thiotrichaceae,g__Beggiatoa,s__Beggiatoa_alba
216597,Salmonella_enterica_subsp_enterica_serovar_Typhimurium_str_SL1344,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Salmonella,s__Salmonella_enterica
857571,Moraxella_catarrhalis_O35E,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Moraxella,s__Moraxella_catarrhalis
210,Helicobacter_pylori,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter,s__Helicobacter_pylori
197,Campylobacter_jejuni,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,s__Campylobacter_jejuni
623,Shigella_flexneri,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Shigella,s__Shigella_flexneri
747,Pasteurella_multocida,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Pasteurella,s__Pasteurella_multocida
192222,Campylobacter_jejuni_subsp_jejuni_NCTC_11168_ATCC_700819,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,s__Campylobacter_jejuni
177416,Francisella_tularensis_subsp_tularensis_SCHU_S4,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Francisellaceae,g__Francisella,s__Francisella_tularensis
155864,Escherichia_coli_O157_H7_str_EDL933,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia_coli
303,Pseudomonas_putida,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_putida
554,Pectobacterium_carotovorum,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Pectobacteriaceae,g__Pectobacterium,s__Pectobacterium_carotovorum
571800,Psychrobacter_sp_G,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_sp_G
948,Anaplasma_phagocytophilum,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Anaplasmataceae,g__Anaplasma,s__Anaplasma_phagocytophilum
203192,Pseudomonas_chloritidismutans,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_chloritidismutans
375177,Haemophilus_influenzae_3655,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__Haemophilus_influenzae
316,Pseudomonas_stutzeri,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_stutzeri
269484,Ehrlichia_canis_str_Jake,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Anaplasmataceae,g__Ehrlichia,s__Ehrlichia_canis
81475,Frateuria_aurantia,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__Frateuria,s__Frateuria_aurantia
470,Acinetobacter_baumannii,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter_baumannii
529507,Proteus_mirabilis_HI4320,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Morganellaceae,g__Proteus,s__Proteus_mirabilis
316401,Escherichia_coli_ETEC_H10407,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia_coli
632,Yersinia_pestis,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Yersiniaceae,g__Yersinia,s__Yersinia_pestis
666,Vibrio_cholerae,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Vibrio,s__Vibrio_cholerae
955,Wolbachia_pipientis,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Anaplasmataceae,g__Wolbachia,s__Wolbachia_pipientis
122355,Pseudomonas_psychrophila,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_psychrophila
374932,Haemophilus_influenzae_PittHH,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__Haemophilus_influenzae
72556,Achromobacter_piechaudii,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__Achromobacter,s__Achromobacter_piechaudii
