"id","taxid","domain","kingdom","phylum","class","order","family","genus","species","IsLower","N","nIDs","Label"
"s__Mumps_orthorubulavirus",2560602,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Paramyxoviridae","Orthorubulavirus","Mumps_orthorubulavirus",FALSE,2,1,"Mumps orthorubulavirus(2 peptides)"
"s__Murine_respirovirus",11196,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Paramyxoviridae","Respirovirus","Murine_respirovirus",FALSE,6,2,"Murine respirovirus(6 peptides)"
"s__Nipah_henipavirus",121791,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Paramyxoviridae","Henipavirus","Nipah_henipavirus",FALSE,4,1,"Nipah henipavirus(4 peptides)"
"s__Phlebovirus_WCH_97_HN_China_2011",1173018,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Phenuiviridae","Phlebovirus","Phlebovirus_WCH_97_HN_China_2011",FALSE,4,1,"Phlebovirus WCH 97 HN China 2011(4 peptides)"
"s__Piscine_novirhabdovirus",11288,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Novirhabdovirus","Piscine_novirhabdovirus",FALSE,10,1,"Piscine novirhabdovirus(10 peptides)"
"s__Prospect_Hill_orthohantavirus",1980485,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus","Prospect_Hill_orthohantavirus",FALSE,1,1,"Prospect Hill orthohantavirus(1 peptides)"
"s__Puumala_orthohantavirus",39002,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus","Puumala_orthohantavirus",FALSE,23,2,"Puumala orthohantavirus(23 peptides)"
"s__Rabies_lyssavirus",11292,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Lyssavirus","Rabies_lyssavirus",FALSE,25,4,"Rabies lyssavirus(25 peptides)"
"s__Reston_ebolavirus",186539,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Filoviridae","Ebolavirus","Reston_ebolavirus",TRUE,8,1,"Reston ebolavirus(8 peptides)"
"s__Rift_Valley_fever_phlebovirus",11588,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Phenuiviridae","Phlebovirus","Rift_Valley_fever_phlebovirus",FALSE,3,1,"Rift Valley fever phlebovirus(3 peptides)"
"s__Rinderpest_morbillivirus",36409,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Paramyxoviridae","Morbillivirus","Rinderpest_morbillivirus",FALSE,8,3,"Rinderpest morbillivirus(8 peptides)"
"s__Rio_Mamore_hantavirus",46920,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus","Rio_Mamore_hantavirus",FALSE,1,1,"Rio Mamore hantavirus(1 peptides)"
"s__Rio_Segundo_hantavirus",37207,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus","Rio_Segundo_hantavirus",FALSE,1,1,"Rio Segundo hantavirus(1 peptides)"
"s__Schmallenberg_orthobunyavirus",1133363,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Schmallenberg_orthobunyavirus",FALSE,1,1,"Schmallenberg orthobunyavirus(1 peptides)"
"s__Seoul_orthohantavirus",280855,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus","Seoul_orthohantavirus",FALSE,3,1,"Seoul orthohantavirus(3 peptides)"
"s__Sin_Nombre_orthohantavirus",1980491,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus","Sin_Nombre_orthohantavirus",FALSE,1,1,"Sin Nombre orthohantavirus(1 peptides)"
"s__Sudan_ebolavirus",186540,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Filoviridae","Ebolavirus","Sudan_ebolavirus",TRUE,14,1,"Sudan ebolavirus(14 peptides)"
"s__Tomato_spotted_wilt_orthotospovirus",1933298,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Tospoviridae","Orthotospovirus","Tomato_spotted_wilt_orthotospovirus",FALSE,1,1,"Tomato spotted wilt orthotospovirus(1 peptides)"
"s__Topografov_hantavirus",83192,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus","Topografov_hantavirus",FALSE,1,1,"Topografov hantavirus(1 peptides)"
"s__Toscana_phlebovirus",11590,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Phenuiviridae","Phlebovirus","Toscana_phlebovirus",FALSE,3,1,"Toscana phlebovirus(3 peptides)"
"s__Tula_orthohantavirus",1980494,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus","Tula_orthohantavirus",FALSE,1,1,"Tula orthohantavirus(1 peptides)"
"s__Vesicular_stomatitis_virus",11276,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Vesiculovirus","Vesicular_stomatitis_virus",FALSE,1,1,"Vesicular stomatitis virus(1 peptides)"
"s__Watermelon_silver_mottle_orthotospovirus",1933300,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Tospoviridae","Orthotospovirus","Watermelon_silver_mottle_orthotospovirus",FALSE,1,1,"Watermelon silver mottle orthotospovirus(1 peptides)"
"s__Zaire_ebolavirus",186538,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Filoviridae","Ebolavirus","Zaire_ebolavirus",TRUE,156,3,"Zaire ebolavirus(156 peptides)"
