taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
11098,Classical_swine_fever_virus_Brescia,d__Viruses,k__Orthornavirae,p__Kitrinoviricota,c__Flasuviricetes,o__Amarillovirales,f__Flaviviridae,g__Pestivirus,s__Pestivirus_C
11976,Rabbit_hemorrhagic_disease_virus,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Pisoniviricetes,o__Picornavirales,f__Caliciviridae,g__Lagovirus,s__Rabbit_hemorrhagic_disease_virus
11105,Hepatitis_C_virus_isolate_BK,d__Viruses,k__Orthornavirae,p__Kitrinoviricota,c__Flasuviricetes,o__Amarillovirales,f__Flaviviridae,g__Hepacivirus,s__Hepacivirus_C
2115988,Swine_acute_diarrhea_syndrome_related_coronavirus,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Pisoniviricetes,o__Nidovirales,f__Coronaviridae,g__Swine_acute_diarrhea_syndrome_related_coronavirus__S+,s__Swine_acute_diarrhea_syndrome_related_coronavirus
82824,Bovine_respiratory_syncytial_virus_strain_snook,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Monjiviricetes,o__Mononegavirales,f__Pneumoviridae,g__Orthopneumovirus,s__Bovine_orthopneumovirus
454951,Feline_coronavirus_UU3,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Pisoniviricetes,o__Nidovirales,f__Coronaviridae,g__Alphacoronavirus,s__Alphacoronavirus_1
138950,Enterovirus_C,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Pisoniviricetes,o__Picornavirales,f__Picornaviridae,g__Enterovirus,s__Enterovirus_C
11048,Lactate_dehydrogenase_elevating_virus,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Pisoniviricetes,o__Nidovirales,f__Arteriviridae,g__Gammaarterivirus,s__Gammaarterivirus_lacdeh
383586,Influenza_A_virus_A_Memphis_1_1971_H3N2,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Insthoviricetes,o__Articulavirales,f__Orthomyxoviridae,g__Alphainfluenzavirus,s__Influenza_A_virus
31767,Hepatitis_E_virus_strain_Burma,d__Viruses,k__Orthornavirae,p__Kitrinoviricota,c__Alsuviricetes,o__Hepelivirales,f__Hepeviridae,g__Orthohepevirus,s__Orthohepevirus_A
31708,rhinovirus_A16,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Pisoniviricetes,o__Picornavirales,f__Picornaviridae,g__Enterovirus,s__Rhinovirus_A
645724,Influenza_A_virus_A_Hong_Kong_01_2009_H1N1,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Insthoviricetes,o__Articulavirales,f__Orthomyxoviridae,g__Alphainfluenzavirus,s__Influenza_A_virus
11069,Dengue_virus_3,d__Viruses,k__Orthornavirae,p__Kitrinoviricota,c__Flasuviricetes,o__Amarillovirales,f__Flaviviridae,g__Flavivirus,s__Dengue_virus
11624,Lymphocytic_choriomeningitis_virus_strain_Armstrong,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Ellioviricetes,o__Bunyavirales,f__Arenaviridae,g__Mammarenavirus,s__Lymphocytic_choriomeningitis_mammarenavirus
284202,Influenza_A_virus_A_Dk_ST_5048_2001_H3N8,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Insthoviricetes,o__Articulavirales,f__Orthomyxoviridae,g__Alphainfluenzavirus,s__Influenza_A_virus
155220,Influenza_A_virus_A_Hong_Kong_542_97_H5N1,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Insthoviricetes,o__Articulavirales,f__Orthomyxoviridae,g__Alphainfluenzavirus,s__Influenza_A_virus
36409,Rinderpest_virus_strain_RBOK,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Monjiviricetes,o__Mononegavirales,f__Paramyxoviridae,g__Morbillivirus,s__Rinderpest_morbillivirus
