id,taxid,domain,kingdom,phylum,class,order,family,genus,species
s__Infectious_bursal_disease_virus,10995,Viruses,Orthornavirae,Birnaviridae__F+,Birnaviridae__F+,Birnaviridae__F+,Birnaviridae,Avibirnavirus,Infectious_bursal_disease_virus
s__Parechovirus_A,1803956,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Parechovirus,Parechovirus_A
s__Severe_acute_respiratory_syndrome_related_coronavirus,1508227,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Betacoronavirus,Severe_acute_respiratory_syndrome_related_coronavirus
s__Tomato_bushy_stunt_virus,12146,Viruses,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,Tomato_bushy_stunt_virus
s__Influenza_A_virus,130760,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Influenza_A_virus,387147,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Swine_acute_diarrhea_syndrome_coronavirus,2032731,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Swine_acute_diarrhea_syndrome_coronavirus
s__Hepacivirus_C,31644,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Hepacivirus,Hepacivirus_C
s__African_horse_sickness_virus,36421,Viruses,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Reoviridae,Orbivirus,African_horse_sickness_virus
s__Rabies_lyssavirus,11292,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,Lyssavirus,Rabies_lyssavirus
s__Influenza_A_virus,164326,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Human_orthopneumovirus,11251,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Pneumoviridae,Orthopneumovirus,Human_orthopneumovirus
