id,taxid,domain,kingdom,phylum,class,order,family,genus,species
s__Influenza_A_virus,382825,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Influenza_A_virus,352764,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Influenza_A_virus,421472,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Influenza_A_virus,479022,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Influenza_A_virus,387139,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Rio_Segundo_hantavirus,37207,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Hantaviridae,Orthohantavirus,Rio_Segundo_hantavirus
s__Rabies_lyssavirus,11292,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,Lyssavirus,Rabies_lyssavirus
s__Influenza_A_virus,164326,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Human_orthopneumovirus,11251,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Pneumoviridae,Orthopneumovirus,Human_orthopneumovirus
s__Influenza_A_virus,384510,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Argentinian_mammarenavirus,2169991,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,Mammarenavirus,Argentinian_mammarenavirus
s__Measles_morbillivirus,11234,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Morbillivirus,Measles_morbillivirus
s__Influenza_A_virus,392811,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Zaire_ebolavirus,186538,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Filoviridae,Ebolavirus,Zaire_ebolavirus
s__Bundibugyo_ebolavirus,565995,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Filoviridae,Ebolavirus,Bundibugyo_ebolavirus
s__Vesicular_stomatitis_virus,11276,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,Vesiculovirus,Vesicular_stomatitis_virus
s__Influenza_A_virus,449656,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
