taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
79923,Clonorchis_sinensis,d__Eukaryota,k__Metazoa,p__Platyhelminthes,c__Trematoda,o__Opisthorchiida,f__Opisthorchiidae,g__Clonorchis,s__Clonorchis_sinensis
6973,Blattella_germanica,d__Eukaryota,k__Metazoa,p__Arthropoda,c__Insecta,o__Blattodea,f__Ectobiidae,g__Blattella,s__Blattella_germanica
6978,Periplaneta_americana,d__Eukaryota,k__Metazoa,p__Arthropoda,c__Insecta,o__Blattodea,f__Blattidae,g__Periplaneta,s__Periplaneta_americana
7234,Drosophila_persimilis,d__Eukaryota,k__Metazoa,p__Arthropoda,c__Insecta,o__Diptera,f__Drosophilidae,g__Drosophila,s__Drosophila_persimilis
6279,Brugia_malayi,d__Eukaryota,k__Metazoa,p__Nematoda,c__Chromadorea,o__Rhabditida,f__Onchocercidae,g__Brugia,s__Brugia_malayi
7137,Galleria_mellonella,d__Eukaryota,k__Metazoa,p__Arthropoda,c__Insecta,o__Lepidoptera,f__Pyralidae,g__Galleria,s__Galleria_mellonella
265619,Ornithodoros_erraticus,d__Eukaryota,k__Metazoa,p__Arthropoda,c__Arachnida,o__Ixodida,f__Argasidae,g__Ornithodoros,s__Ornithodoros_erraticus
121224,Pediculus_humanus_corporis,d__Eukaryota,k__Metazoa,p__Arthropoda,c__Insecta,o__Phthiraptera,f__Pediculidae,g__Pediculus,s__Pediculus_humanus
6182,Schistosoma_japonicum,d__Eukaryota,k__Metazoa,p__Platyhelminthes,c__Trematoda,o__Strigeidida,f__Schistosomatidae,g__Schistosoma,s__Schistosoma_japonicum
29170,Ancylostoma_caninum,d__Eukaryota,k__Metazoa,p__Nematoda,c__Chromadorea,o__Strongylida,f__Ancylostomatidae,g__Ancylostoma,s__Ancylostoma_caninum
6282,Onchocerca_volvulus,d__Eukaryota,k__Metazoa,p__Nematoda,c__Chromadorea,o__Rhabditida,f__Onchocercidae,g__Onchocerca,s__Onchocerca_volvulus
6334,Trichinella_spiralis,d__Eukaryota,k__Metazoa,p__Nematoda,c__Enoplea,o__Trichinellida,f__Trichinellidae,g__Trichinella,s__Trichinella_spiralis
6206,Taenia_saginata,d__Eukaryota,k__Metazoa,p__Platyhelminthes,c__Cestoda,o__Cyclophyllidea,f__Taeniidae,g__Taenia,s__Taenia_saginata
