id,taxid,domain,kingdom,phylum,class,order,family,genus,species
s__Pseudomonas_chloritidismutans,203192,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_chloritidismutans
s__Haemophilus_influenzae,375177,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus_influenzae
s__Pseudomonas_stutzeri,316,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_stutzeri
s__Ehrlichia_canis,269484,Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,Ehrlichia_canis
s__Frateuria_aurantia,81475,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Frateuria,Frateuria_aurantia
s__Acinetobacter_baumannii,470,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter_baumannii
s__Proteus_mirabilis,529507,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus_mirabilis
s__Escherichia_coli,316401,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia_coli
s__Yersinia_pestis,632,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia_pestis
s__Vibrio_cholerae,666,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio_cholerae
s__Wolbachia_pipientis,955,Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia_pipientis
s__Pseudomonas_psychrophila,122355,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_psychrophila
s__Haemophilus_influenzae,374932,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus_influenzae
s__Achromobacter_piechaudii,72556,Bacteria,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter_piechaudii
s__Dickeya_chrysanthemi,556,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Dickeya,Dickeya_chrysanthemi
s__Burkholderia_cenocepacia,95486,Bacteria,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cenocepacia
s__Helicobacter_pylori,1337393,Bacteria,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter_pylori
s__Klebsiella_pneumoniae,272620,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella_pneumoniae
s__Escherichia_coli,562,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia_coli
s__Yersinia_enterocolitica,630,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia_enterocolitica
s__Ehrlichia_canis,944,Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,Ehrlichia_canis
f__Enterobacteriaceae,543,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
s__Orientia_tsutsugamushi,784,Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Orientia,Orientia_tsutsugamushi
s__Rickettsia_rickettsii,392021,Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia_rickettsii
s__Acinetobacter_baumannii,400667,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter_baumannii
s__Anaplasma_marginale,770,Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Anaplasma,Anaplasma_marginale
s__Helicobacter_pylori,866344,Bacteria,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter_pylori
s__Haemophilus_influenzae,727,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus_influenzae
s__Helicobacter_pylori,1352357,Bacteria,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter_pylori
